,temp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0,-138,1041,15945,-131,-17,109,-156,1491,83,-2229
1,-135,1057,15914,-223,-27,115,-146,1471,82,-2166
2,-134,1045,15951,-49,-14,103,-152,1479,81,-2179
3,-130,1064,15907,-236,-62,132,-146,1497,70,-2265
4,-133,1057,15989,-92,-13,114,-148,1486,110,-2222
5,-132,1041,15856,-213,-75,119,-148,1507,86,-2288
6,-135,1084,15937,-113,-9,109,-160,1504,79,-2231
7,-134,1056,15973,-112,-46,116,-142,1507,97,-2178
8,-134,1060,15890,-227,-73,119,-149,1526,94,-2215
9,-135,1067,15903,-208,-70,113,-148,1551,52,-2188
10,-135,1051,15923,-120,-15,103,-150,1498,133,-2208
11,-136,1052,15916,-176,-62,112,-145,1553,59,-2202
12,-136,1054,15970,-104,-36,107,-153,1500,58,-2207
13,-134,1060,15950,-100,-53,112,-154,1504,103,-2240
14,-133,1063,15896,-248,-83,128,-148,1507,118,-2184
15,-131,1068,15878,-235,-74,128,-143,1548,112,-2232
16,-138,1061,15914,-180,-38,129,-147,1515,60,-2206
17,-136,1049,15966,-95,-12,117,-143,1523,121,-2221
18,-132,1064,15905,-214,-74,116,-145,1491,106,-2165
19,-135,1052,15943,-158,-47,120,-148,1466,86,-2177
20,-133,1057,15953,-104,-39,112,-149,1510,88,-2173
21,-132,1055,15955,-141,-53,97,-145,1485,90,-2168
22,-135,1050,15898,-204,-55,118,-146,1508,80,-2236
23,-136,1060,15988,-68,-19,110,-147,1483,68,-2176
24,-133,1069,15939,-128,-45,123,-148,1503,79,-2148
25,-132,1760,15770,-133,-133,-35,-108,1500,93,-2139
26,-132,1729,15970,-234,35,-815,-153,1482,48,-2236
27,-132,1499,15975,-396,-11,-293,-184,1514,97,-2197
28,-136,1192,15840,-230,-74,-818,-185,1523,82,-2258
29,-134,2927,16004,162,-272,-1272,-20,1980,-426,-2225
30,-138,1234,15973,11,-120,-1840,-24,2509,-1017,-2350
31,-131,1865,16003,-47,-131,-2283,-30,2661,-1150,-2361
32,-135,1049,16020,46,-276,-2561,4,2494,-1019,-2356
33,-135,1598,16503,-193,-176,-2305,5,2088,-548,-2489
34,-133,1472,16134,-9,-189,-2072,-10,1914,-465,-2569
35,-135,1387,16214,-249,-46,-2723,-52,2109,-666,-2648
36,-134,1780,15728,61,-241,-3079,24,2144,-790,-2680
37,-134,1319,16049,-27,-247,-3315,-27,1937,-685,-2743
38,-135,745,15864,-76,-237,-2940,55,1722,-518,-2864
39,-135,1540,15860,-16,-171,-2887,71,1556,-419,-2892
40,-134,1301,15835,17,-149,-2866,-51,1446,-533,-2963
41,-135,1199,15923,-286,-205,-2473,-63,1378,-528,-3032
42,-133,1017,16012,-716,-165,-2417,-66,1210,-435,-3042
43,-133,655,15850,-160,-201,-2588,37,1059,-356,-3072
44,-134,1453,16146,-124,-305,-2826,-62,1010,-401,-3098
45,-130,1051,16097,-275,-200,-2679,-116,944,-453,-3137
46,-134,514,15727,25,-217,-2517,-41,818,-486,-3099
47,-133,1634,15690,-455,-190,-2361,4,727,-457,-3083
48,-132,893,15877,-142,-156,-2411,-134,665,-513,-3064
49,-135,841,15978,-76,-128,-1957,92,576,-511,-3011
50,-134,1249,16017,-289,-129,-2224,-20,543,-558,-2985
51,-133,860,15996,-169,-197,-2646,20,428,-556,-3016
52,-134,809,16036,-519,-213,-2960,6,357,-559,-2859
53,-136,1025,16040,2,-276,-3069,-64,256,-578,-2894
54,-132,512,15835,-79,-109,-2923,29,155,-596,-2797
55,-136,1048,16195,-290,-250,-2740,-36,88,-604,-2708
56,-134,1397,16009,-231,-196,-2465,20,7,-606,-2616
57,-132,658,16178,-249,-214,-2429,22,-59,-633,-2483
58,-134,470,15847,-352,-183,-2442,-40,-104,-616,-2439
59,-132,1490,15970,-154,-116,-2406,109,-181,-622,-2327
60,-135,745,15916,-111,-143,-2604,3,-157,-601,-2125
61,-136,1297,15921,-401,-122,-2659,27,-206,-535,-2063
62,-134,1493,16290,-27,-200,-2830,-29,-249,-472,-1830
63,-135,988,15819,-281,-188,-2878,-102,-110,-495,-1616
64,-132,845,15875,-332,-112,-3026,121,-93,-455,-1466
65,-136,1168,15669,60,-336,-3278,22,109,-410,-1361
66,-135,862,15934,-150,-269,-3002,1,323,-470,-1237
67,-133,816,15844,9,-437,-2707,45,574,-467,-1164
68,-136,910,16031,772,-239,-2656,-41,775,-468,-1197
69,-135,415,15582,405,-131,-2670,-96,953,-524,-1158
70,-134,586,15952,-292,-242,-2415,80,1172,-506,-1228
71,-135,1410,16315,-388,-129,-2260,-22,1365,-563,-1273
72,-135,1159,15967,-8,-116,-2398,-19,1385,-522,-1342
73,-137,1148,15765,139,-257,-2535,-34,1471,-519,-1377
74,-133,385,15896,418,-346,-2589,7,1589,-580,-1538
75,-135,739,16154,-49,-160,-2549,99,1639,-560,-1607
76,-133,1053,15815,254,-394,-2553,27,1702,-586,-1662
77,-135,923,15636,873,-137,-2314,68,1759,-560,-1651
78,-134,697,15821,-133,-250,-2033,-5,1739,-558,-1724
79,-134,1337,15714,538,-85,-1929,19,1751,-549,-1768
80,-135,1351,15935,71,-122,-1796,51,1818,-576,-1797
81,-135,1804,16170,-301,-229,-2246,-8,1813,-564,-1785
82,-133,1312,16001,462,-194,-2601,-19,1834,-569,-1855
83,-133,1093,16392,-561,-135,-2919,-49,1887,-555,-1877
84,-132,1181,16101,138,-207,-2974,-21,1893,-582,-1927
85,-132,823,15732,366,-152,-2791,-10,1928,-523,-1984
86,-131,722,15706,588,-39,-2671,53,1954,-575,-2058
87,-135,503,16029,208,-197,-2414,17,2023,-525,-2027
88,-133,550,16061,-208,-198,-1989,-32,2015,-575,-2127
89,-136,409,16242,-984,62,-1548,1,2026,-546,-2138
90,-134,1513,16231,-510,-175,-1205,-50,2023,-574,-2197
91,-133,921,15864,-245,-185,-997,-107,2015,-478,-2179
92,-132,968,15930,-634,-35,-940,28,2014,-525,-2202
93,-135,84,15664,442,-380,-487,-150,2040,-529,-2166
94,-132,1134,16605,-1660,-230,514,-83,2078,-533,-2246
95,-133,1029,14879,1028,239,302,-96,2040,-522,-2228
96,-138,1564,16381,-1016,-105,211,-151,2042,-536,-2186
97,-133,812,15830,304,48,56,-42,2052,-506,-2198
98,-133,1217,16099,-371,-109,35,-35,2060,-533,-2187
99,-134,1241,15920,-85,18,89,-68,2047,-525,-2217
100,-135,1284,15984,-366,-123,108,-66,2035,-539,-2243
101,-136,1337,15902,-164,-22,142,-84,2059,-534,-2272
102,-135,1305,16012,-291,-93,147,-79,2046,-526,-2177
103,-133,909,15750,-170,104,75,-107,1989,-491,-2194
104,-132,1638,16068,-391,260,-347,-40,2012,-476,-2238
105,-132,1133,16695,-1532,490,-83,-135,2023,-453,-2212
106,-135,34,14907,-1074,2311,-241,-372,2030,-438,-2115
107,-135,1741,15945,-1784,-78,-281,-197,2028,-406,-2059
108,-133,402,16849,-3742,873,182,-4,2016,-381,-2046
109,-133,979,15253,-1278,2,-155,-197,2103,-351,-1958
110,-135,104,16991,-3972,2287,-17,-120,2041,-282,-1794
111,-135,1197,15405,-5661,3056,-132,-151,2036,-172,-1569
112,-132,784,13001,-5243,3298,-5,-188,1983,71,-1366
113,-132,657,13097,-8690,2442,23,-142,1979,321,-1183
114,-135,1005,12210,-8829,2079,-129,-116,1998,485,-948
115,-135,1012,12506,-10544,2208,-93,-68,1972,728,-839
116,-135,-39,10313,-11186,2110,156,-293,1989,1031,-729
117,-133,199,9677,-12029,2066,76,-184,1934,1343,-576
118,-134,792,9046,-13308,1834,64,-59,1936,1550,-474
119,-132,-29,7978,-13515,1340,110,-243,1991,1742,-374
120,-131,704,7433,-13966,664,140,-189,1978,1841,-399
121,-136,163,6883,-14010,165,84,-49,2050,1965,-272
122,-133,754,7413,-14542,-369,149,-116,2007,1936,-335
123,-131,786,7715,-14500,-257,146,-190,2031,1897,-371
124,-133,-92,6662,-12848,-1319,322,-270,2008,1805,-387
125,-134,874,8104,-13017,-552,107,129,1975,1702,-384
126,-134,1720,6909,-11960,-2025,209,-75,1936,1528,-562
127,-134,1631,11384,-12449,-3194,95,-22,1891,1258,-691
128,-132,1078,12656,-10637,-3861,193,-32,1852,807,-934
129,-134,480,13531,-8333,-3623,174,-44,1859,470,-1168
130,-132,923,14330,-6797,-3613,251,-63,1823,226,-1479
131,-135,1029,15093,-3922,-3612,194,2,1870,-42,-1780
132,-133,937,16704,-1728,-3895,87,74,1903,-259,-1995
133,-135,737,15936,160,-4064,89,-32,1923,-377,-2407
134,-134,1044,16099,3255,-3905,212,38,1877,-356,-2651
135,-133,752,15437,5381,-4093,199,85,1865,-273,-2900
136,-130,1276,13412,8407,-4157,214,-6,1892,-93,-3110
137,-133,1123,12971,10361,-4595,375,3,1931,131,-3448
138,-134,1701,11607,12274,-4458,762,599,2065,338,-3688
139,-133,966,9399,14088,-4333,366,146,2114,630,-3824
140,-133,1571,7793,15043,-4316,125,130,2222,1032,-3988
141,-133,1205,4949,16017,-3694,99,-88,2376,1343,-4025
142,-133,1348,2756,16806,-3144,216,312,2526,1623,-4078
143,-131,856,1009,16115,-2904,187,97,2620,1913,-4000
144,-136,1386,-294,16576,-2826,164,93,2759,2200,-3963
145,-137,1504,-2452,16446,-2481,118,-96,2868,2517,-3911
146,-134,862,-4179,16936,-2635,141,213,2890,2814,-3876
147,-133,1592,-5108,16350,-2462,168,4,2931,3161,-3756
148,-133,1624,-7660,15807,-2894,126,153,3024,3397,-3674
149,-132,1517,-8393,15010,-3023,124,182,3062,3754,-3532
150,-134,1110,-9997,13603,-3026,17,361,3091,4066,-3351
151,-133,1094,-11480,12733,-3206,-63,305,3101,4360,-3183
152,-132,-29,-12278,10886,-3085,-104,393,3135,4729,-3005
153,-132,450,-13546,8926,-3353,148,183,3180,4906,-2817
154,-133,694,-14507,7797,-3171,276,78,3141,5216,-2597
155,-132,47,-14897,5371,-2767,194,121,3199,5433,-2325
156,-135,833,-16237,4829,-2497,78,176,3180,5547,-2125
157,-133,-213,-16003,2987,-2475,88,138,3204,5695,-1932
158,-133,383,-16760,1942,-2190,252,27,3174,5827,-1766
159,-135,188,-16320,-310,-2110,-118,181,3128,5934,-1656
160,-134,1032,-17037,-301,-2020,211,18,3143,6020,-1487
161,-136,-543,-15745,-2717,-2212,181,110,3126,6090,-1329
162,-134,1142,-16523,-4218,-1799,-5,113,2987,6232,-1223
163,-135,36,-15270,-4572,-1606,370,119,2920,6288,-1124
164,-133,1,-15423,-5563,-1269,17,62,2876,6325,-987
165,-133,-441,-14925,-6723,-1097,103,63,2729,6431,-985
166,-136,-488,-15469,-6105,-677,-3,-3,2749,6447,-917
167,-137,8,-14803,-6418,-113,327,-30,2702,6439,-844
168,-133,157,-15354,-6328,4,177,-62,2714,6464,-877
169,-133,290,-15401,-6858,-241,195,0,2729,6504,-925
170,-133,-335,-15350,-6151,-75,126,-16,2696,6480,-898
171,-132,-277,-15138,-6433,25,167,-52,2715,6476,-887
172,-137,-215,-14884,-6753,388,353,-20,2724,6508,-965
173,-132,-117,-15412,-6452,852,885,161,2698,6493,-908
174,-135,-242,-13899,-6421,682,102,-24,2645,6546,-1006
175,-134,1138,-18160,-3410,1598,144,-58,2717,6485,-1141
176,-132,-776,-15494,-4337,394,373,-39,2574,6662,-1130
177,-134,-581,-13528,-4511,2170,564,-24,2533,6666,-1151
178,-133,468,-14724,-3293,3655,-245,-192,2670,6543,-1329
179,-134,-108,-16024,753,4092,-439,-112,2742,6328,-1684
180,-134,229,-16111,5439,4246,-278,-165,2817,6138,-2004
181,-133,-106,-15279,7105,4191,-112,-278,2886,5765,-2345
182,-132,785,-15084,8363,4212,-77,-115,2910,5381,-2609
183,-132,1912,-13630,11891,4348,139,-298,2937,4982,-2906
184,-130,877,-11364,12164,4147,16,-264,2991,4517,-3254
185,-133,398,-8927,14465,4201,-6,-79,2898,4029,-3470
186,-132,1620,-7306,14547,3942,38,-146,2793,3576,-3580
187,-132,817,-4467,16585,4320,-3,-131,2878,2969,-3808
188,-132,977,-1244,17043,4824,44,-102,2807,2360,-3962
189,-133,458,1235,18382,4993,87,-262,2742,1725,-3958
190,-132,1447,4893,16778,4452,68,-173,2756,1119,-3978
191,-134,1433,7092,16476,4429,-26,-229,2318,941,-3871
192,-135,518,8465,14985,4100,44,-296,2147,629,-3748
193,-133,1681,10733,12395,3600,159,-219,2029,398,-3614
194,-131,1147,12318,11188,3687,142,-97,1908,253,-3410
195,-135,401,13568,9261,3670,33,-185,1993,-50,-3148
196,-134,1970,13904,7395,3156,176,-165,1988,-380,-2983
197,-130,892,15667,4603,2820,97,-71,2057,-537,-2711
198,-133,804,15166,4353,2684,45,-223,2120,-571,-2496
199,-134,1121,16090,2055,2590,88,-83,2117,-637,-2307
200,-134,763,15402,1052,2163,-149,-152,2158,-683,-2126
201,-132,1226,14908,82,924,-51,-43,2198,-622,-2007
202,-132,1164,15062,-570,-411,61,14,2201,-597,-1970
203,-134,572,16523,-1231,-847,39,-52,2227,-700,-2053
204,-135,833,15798,-663,88,451,-94,2242,-712,-2159
205,-136,1236,15410,-237,-287,225,-19,2231,-721,-2152
206,-133,647,16773,-976,-329,123,-20,2209,-701,-2156
207,-132,1448,16693,-854,-56,38,6,2171,-671,-2173
208,-133,1849,16369,-56,-602,42,-10,2183,-670,-2226
209,-132,1245,16248,151,-62,139,-18,2205,-674,-2220
210,-134,1134,15716,813,88,36,-46,2178,-689,-2216
211,-135,1371,15889,689,-241,48,-1,2174,-691,-2171
212,-134,1290,16069,384,-170,84,-20,2193,-683,-2235
213,-132,2604,16715,-881,-33,411,-215,2162,-669,-2258
214,-134,1355,15866,295,108,186,17,2138,-652,-2280
215,-133,955,15622,321,626,10,33,2171,-669,-2172
216,-134,1131,16491,-921,444,154,-119,2173,-627,-2191
217,-134,731,15402,-941,649,-128,-173,2167,-676,-2101
218,-132,1093,15748,-1360,2420,91,-103,2149,-576,-2012
219,-132,855,16819,-4476,3546,-216,-262,2099,-332,-1839
220,-132,691,14029,-5258,3751,107,-221,2293,-246,-1527
221,-132,508,12955,-7216,3707,182,-268,2370,-24,-1294
222,-131,952,12864,-8935,3721,-38,-123,2448,277,-1023
223,-136,632,11342,-12077,3610,51,-200,2494,604,-875
224,-136,506,9854,-12517,3127,413,-409,2487,951,-674
225,-133,420,8154,-13101,2870,84,-77,2563,1283,-458
226,-133,108,7395,-14412,1843,122,-13,2572,1612,-379
227,-135,393,5284,-15437,2212,32,-34,2594,1870,-272
228,-132,457,4239,-16022,2357,85,-20,2591,2174,-205
229,-133,1132,2731,-15783,2592,30,69,2647,2492,-138
230,-133,114,1278,-16017,2231,161,173,2649,2788,-59
231,-134,-479,-600,-16542,2768,85,-171,2603,3201,-14
232,-134,767,-2097,-15856,2435,137,-101,2539,3645,-21
233,-133,845,-3881,-16543,2632,62,77,2538,3982,-4
234,-132,-5,-5270,-15220,2783,83,-108,2492,4351,-35
235,-133,96,-6981,-14785,2637,49,-191,2469,4752,-132
236,-135,783,-8460,-13931,2480,101,-70,2446,5060,-174
237,-132,-558,-10372,-13090,2350,314,62,2386,5411,-248
238,-131,19,-10883,-11936,2673,-163,-264,2304,5735,-350
239,-131,957,-12180,-11639,2109,-59,-213,2198,6036,-425
240,-132,-12,-12378,-10224,1313,108,-177,2201,6194,-585
241,-133,279,-13309,-9530,1770,28,-248,2153,6413,-614
242,-132,472,-13566,-8948,1222,33,-138,2112,6547,-742
243,-131,-252,-14422,-8137,488,1,-182,2056,6620,-758
244,-130,434,-13555,-8262,-129,90,-106,2044,6650,-799
245,-133,152,-14249,-8309,-6,24,-99,2035,6632,-831
246,-134,373,-14603,-8250,-342,73,-92,2077,6649,-755
247,-134,3,-14657,-8840,-252,-52,-300,2037,6664,-789
248,-133,473,-14158,-8698,-215,4,-116,2077,6609,-747
249,-135,192,-14151,-8999,-366,116,-138,2036,6633,-751
250,-133,499,-13734,-8774,-42,11,-202,2049,6678,-771
251,-134,271,-13471,-8606,-1001,184,-181,2073,6597,-719
252,-135,138,-13087,-10060,-1736,168,30,2121,6422,-622
253,-134,618,-11911,-10841,-2365,175,48,2230,6131,-496
254,-132,463,-11149,-11713,-2482,172,1,2335,5843,-385
255,-136,15,-10345,-12998,-2726,135,58,2355,5530,-277
256,-135,-38,-8681,-13807,-3234,202,52,2347,5236,-201
257,-133,115,-6604,-14766,-3451,96,72,2257,4885,-34
258,-132,390,-5103,-15282,-3064,232,-71,2266,4605,-56
259,-133,241,-3248,-16307,-3364,193,87,2192,4227,14
260,-132,175,-1195,-16298,-3493,140,90,2103,3865,22
261,-134,535,793,-16145,-3524,107,90,2053,3434,-78
