,temp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time
0,-147,1074,15936,-507,-86,128,-145,2269,-495,-2143,2022-10-21 16:19:06.404196
1,-145,1063,16029,-405,-57,132,-135,2332,-538,-2150,2022-10-21 16:19:06.538871
2,-145,1080,15939,-482,-71,130,-149,2300,-500,-2062,2022-10-21 16:19:06.668017
3,-147,1064,16006,-442,-57,121,-152,2292,-509,-2126,2022-10-21 16:19:06.803949
4,-147,1086,15925,-510,-72,129,-139,2287,-505,-2057,2022-10-21 16:19:06.928153
5,-146,1077,15989,-465,-50,126,-142,2317,-498,-2125,2022-10-21 16:19:07.063037
6,-147,1110,15945,-488,-76,132,-149,2332,-489,-2137,2022-10-21 16:19:07.191679
7,-144,1065,16035,-416,-57,127,-130,2316,-507,-2068,2022-10-21 16:19:07.323207
8,-146,1109,15965,-488,-78,125,-153,2313,-488,-2122,2022-10-21 16:19:07.453820
9,-147,1068,16026,-423,-69,135,-151,2299,-479,-2142,2022-10-21 16:19:07.583956
10,-142,1078,15932,-508,-78,147,-149,2269,-506,-2139,2022-10-21 16:19:07.712292
11,-146,1063,16010,-429,-54,129,-147,2289,-500,-2114,2022-10-21 16:19:07.841148
12,-145,1048,15939,-485,-82,132,-134,2290,-483,-2118,2022-10-21 16:19:07.970091
13,-144,1062,16040,-434,-60,132,-149,2315,-469,-2145,2022-10-21 16:19:08.102341
14,-142,1075,15912,-522,-91,125,-145,2324,-502,-2128,2022-10-21 16:19:08.233160
15,-144,1085,15977,-448,-57,134,-144,2330,-491,-2137,2022-10-21 16:19:08.360369
16,-144,1064,15982,-450,-69,132,-150,2307,-466,-2202,2022-10-21 16:19:08.488452
17,-145,1101,15916,-490,-66,140,-151,2282,-495,-2142,2022-10-21 16:19:08.621872
18,-143,1103,15995,-439,-68,123,-141,2285,-486,-2139,2022-10-21 16:19:08.749811
19,-145,1111,15962,-472,-70,136,-148,2319,-499,-2150,2022-10-21 16:19:08.869483
20,-144,1099,15967,-466,-91,135,-148,2289,-475,-2180,2022-10-21 16:19:08.990082
21,-140,1096,15955,-495,-81,130,-150,2286,-472,-2101,2022-10-21 16:19:09.111239
22,-146,1088,15918,-503,-67,128,-155,2277,-424,-2182,2022-10-21 16:19:09.233930
23,-145,1062,16038,-404,-56,130,-139,2331,-458,-2162,2022-10-21 16:19:09.363601
24,-142,1081,15994,-442,-70,131,-144,2302,-513,-2213,2022-10-21 16:19:09.488790
25,-145,1113,15933,-495,-59,129,-131,2289,-485,-2170,2022-10-21 16:19:09.616269
26,-142,1105,16004,-410,-47,137,-139,2312,-500,-2180,2022-10-21 16:19:09.740431
27,-145,1088,15916,-487,-72,136,-142,2303,-475,-2160,2022-10-21 16:19:09.871712
28,-144,1079,15961,-469,-58,134,-150,2277,-466,-2178,2022-10-21 16:19:09.997855
29,-143,1063,16019,-395,-63,124,-143,2322,-506,-2176,2022-10-21 16:19:10.126167
30,-144,1073,15926,-487,-68,133,-139,2305,-499,-2193,2022-10-21 16:19:10.255258
31,-144,1073,16039,-419,-47,132,-134,2308,-476,-2150,2022-10-21 16:19:10.384941
32,-147,1071,15920,-501,-61,136,-144,2281,-504,-2212,2022-10-21 16:19:10.513805
33,-142,1077,15999,-424,-58,141,-143,2307,-504,-2159,2022-10-21 16:19:10.646224
34,-144,1093,16022,-430,-52,136,-131,2304,-472,-2199,2022-10-21 16:19:10.784640
35,-145,1096,16027,-397,-58,130,-144,2291,-482,-2186,2022-10-21 16:19:10.909544
36,-143,1094,15934,-507,-79,131,-141,2282,-488,-2154,2022-10-21 16:19:11.038130
37,-146,1076,15989,-426,-59,139,-146,2296,-515,-2151,2022-10-21 16:19:11.165378
38,-146,1068,15990,-438,-68,125,-152,2314,-540,-2200,2022-10-21 16:19:11.295298
39,-145,1076,15909,-496,-70,133,-142,2305,-508,-2105,2022-10-21 16:19:11.421132
40,-144,1089,15994,-433,-54,146,-141,2291,-479,-2155,2022-10-21 16:19:11.546582
41,-145,1091,15993,-451,-76,131,-141,2303,-514,-2175,2022-10-21 16:19:11.676158
42,-146,1094,15997,-422,-48,130,-136,2297,-529,-2134,2022-10-21 16:19:11.810120
43,-145,1065,15991,-443,-68,128,-139,2298,-516,-2147,2022-10-21 16:19:11.937599
44,-147,1079,15981,-446,-63,137,-141,2294,-499,-2194,2022-10-21 16:19:12.069803
45,-145,1074,15992,-438,-47,130,-147,2284,-500,-2109,2022-10-21 16:19:12.198355
46,-144,1085,15949,-477,-78,121,-142,2296,-536,-2207,2022-10-21 16:19:12.324963
47,-146,1097,15973,-448,-61,139,-138,2281,-525,-2160,2022-10-21 16:19:12.453920
48,-143,1100,16025,-520,-52,119,-139,2261,-507,-2067,2022-10-21 16:19:12.580776
49,-145,1147,15916,-367,-112,127,-142,2312,-508,-2079,2022-10-21 16:19:12.708949
50,-143,1123,16037,-663,-41,134,-150,2312,-527,-2140,2022-10-21 16:19:12.836391
51,-144,844,15965,-114,-118,139,-177,2272,-541,-2215,2022-10-21 16:19:12.965163
52,-145,1033,15984,-621,63,126,-127,2310,-509,-2135,2022-10-21 16:19:13.095100
53,-144,1082,16052,-601,-148,150,-148,2294,-520,-2208,2022-10-21 16:19:13.219785
54,-145,912,15915,-165,-85,45,-166,2301,-502,-2215,2022-10-21 16:19:13.347841
55,-145,632,15803,16,75,124,-137,2260,-518,-2141,2022-10-21 16:19:13.477936
56,-144,1292,16187,-588,122,81,-137,2275,-530,-2110,2022-10-21 16:19:13.606493
57,-146,1099,16315,-905,-56,47,-48,2300,-537,-2224,2022-10-21 16:19:13.734947
58,-146,1120,16102,-1266,629,231,-146,2270,-529,-2093,2022-10-21 16:19:13.859276
59,-145,1343,15486,-8,48,156,-60,2237,-448,-2043,2022-10-21 16:19:13.989054
60,-143,1238,15596,-740,-530,187,-50,2292,-535,-2110,2022-10-21 16:19:14.116485
61,-147,967,15973,-1074,-39,39,-108,2189,-480,-2039,2022-10-21 16:19:14.244829
62,-145,1421,15836,-206,-169,177,-89,2228,-483,-2111,2022-10-21 16:19:14.372366
63,-145,1269,16161,-1494,-269,142,-122,2301,-518,-2125,2022-10-21 16:19:14.501689
64,-144,1449,16088,-828,0,69,-117,2221,-452,-2141,2022-10-21 16:19:14.629702
65,-145,1497,15942,-863,-1839,69,-116,2231,-582,-2189,2022-10-21 16:19:14.763931
66,-144,1865,16261,1430,-1314,-68,-64,2217,-605,-2338,2022-10-21 16:19:14.888849
67,-145,1600,16228,838,44,-354,-143,2270,-676,-2394,2022-10-21 16:19:15.016832
68,-146,1325,16948,1382,434,-22,124,2189,-589,-2282,2022-10-21 16:19:15.144084
69,-143,1595,16149,129,1875,89,-222,2210,-626,-2193,2022-10-21 16:19:15.269758
70,-144,1966,15130,125,866,406,-198,2092,-526,-2124,2022-10-21 16:19:15.395974
71,-146,1484,16916,-674,-1424,83,-219,2165,-505,-2154,2022-10-21 16:19:15.524078
72,-145,1189,15680,979,-1543,224,-151,2224,-646,-2289,2022-10-21 16:19:15.651088
73,-145,1600,15725,1054,-21,117,-174,2297,-784,-2298,2022-10-21 16:19:15.779994
74,-144,1405,15841,1268,392,433,-75,2280,-774,-2225,2022-10-21 16:19:15.903705
75,-145,1641,15840,794,-63,351,-124,2272,-723,-2163,2022-10-21 16:19:16.031114
76,-146,1444,15286,1000,821,63,-177,2355,-863,-2172,2022-10-21 16:19:16.153980
77,-145,1483,15479,15,53,302,-95,2433,-949,-2161,2022-10-21 16:19:16.282176
78,-145,1433,15489,684,-57,-149,-247,2454,-925,-2157,2022-10-21 16:19:16.415207
79,-146,1676,15662,195,-41,146,-209,2460,-929,-2137,2022-10-21 16:19:16.540271
80,-142,1544,15835,266,-292,30,-172,2385,-871,-2168,2022-10-21 16:19:16.668132
81,-145,1239,15719,851,-215,55,-173,2283,-763,-2119,2022-10-21 16:19:16.799016
82,-143,1406,16322,664,-101,108,-101,2326,-774,-2112,2022-10-21 16:19:16.928322
83,-142,1721,15943,279,32,255,-150,2347,-816,-2165,2022-10-21 16:19:17.055683
84,-147,1113,15972,677,677,159,-219,2250,-768,-2171,2022-10-21 16:19:17.175539
85,-144,1226,16030,45,64,161,-268,2336,-819,-2116,2022-10-21 16:19:17.294014
86,-143,1381,16026,59,65,208,-209,2326,-814,-2117,2022-10-21 16:19:17.420389
87,-146,1217,16271,-175,-21,173,-173,2298,-768,-2035,2022-10-21 16:19:17.550772
88,-144,1486,15790,123,-213,264,-143,2314,-745,-2130,2022-10-21 16:19:17.680626
89,-144,1241,16188,-164,64,98,-131,2264,-744,-2107,2022-10-21 16:19:17.806298
90,-146,1036,15876,123,-39,126,-147,2291,-729,-2102,2022-10-21 16:19:17.932791
91,-145,1249,15900,-110,-34,152,-113,2319,-801,-2151,2022-10-21 16:19:18.062086
92,-142,970,15393,684,-552,61,-120,2310,-738,-2173,2022-10-21 16:19:18.188945
93,-144,1135,16244,172,-48,-92,-252,2353,-846,-2181,2022-10-21 16:19:18.315825
94,-144,1339,15944,471,-86,184,-190,2317,-766,-2118,2022-10-21 16:19:18.439847
95,-144,1217,15877,818,-304,100,-146,2368,-796,-2183,2022-10-21 16:19:18.563975
96,-144,894,15467,1297,-440,200,-100,2386,-839,-2228,2022-10-21 16:19:18.690406
97,-144,1413,15972,866,-182,222,-142,2346,-796,-2239,2022-10-21 16:19:18.820301
98,-144,1115,15965,646,68,185,-163,2394,-877,-2234,2022-10-21 16:19:18.946478
99,-144,1198,15653,1390,-133,104,-146,2418,-858,-2266,2022-10-21 16:19:19.072634
100,-145,1319,16056,803,27,95,-153,2360,-827,-2275,2022-10-21 16:19:19.199601
101,-147,1544,15590,1464,-201,135,-105,2370,-832,-2197,2022-10-21 16:19:19.321858
102,-144,1167,16348,398,-50,63,-148,2418,-880,-2260,2022-10-21 16:19:19.448540
103,-146,1437,16431,660,-149,48,-168,2345,-840,-2270,2022-10-21 16:19:19.577187
104,-145,1165,15756,1566,-145,-2,-130,2407,-864,-2281,2022-10-21 16:19:19.704155
105,-141,1366,16185,835,-99,144,-74,2394,-867,-2274,2022-10-21 16:19:19.828877
106,-144,1221,15802,1505,-117,194,-157,2360,-828,-2237,2022-10-21 16:19:19.957199
107,-146,1553,15948,973,109,382,-182,2378,-864,-2281,2022-10-21 16:19:20.083786
108,-145,1093,16175,837,182,343,-163,2322,-835,-2279,2022-10-21 16:19:20.209496
109,-146,1246,15655,1347,-13,73,-148,2395,-871,-2263,2022-10-21 16:19:20.334531
110,-147,1110,16034,991,-56,-148,-146,2368,-902,-2243,2022-10-21 16:19:20.461519
111,-144,1079,15871,1014,-13,-90,-123,2360,-822,-2274,2022-10-21 16:19:20.588349
112,-145,1379,15778,1006,-48,-45,-138,2371,-869,-2281,2022-10-21 16:19:20.710591
113,-147,857,16102,665,-164,-495,-80,2458,-885,-2253,2022-10-21 16:19:20.837150
114,-147,2529,15649,828,105,-508,-160,2317,-810,-2259,2022-10-21 16:19:20.963271
115,-145,1665,16199,621,-153,-1494,-347,2466,-891,-2333,2022-10-21 16:19:21.088489
116,-144,1567,16088,757,-282,-1934,-149,2440,-900,-2405,2022-10-21 16:19:21.218899
117,-143,1429,16047,1069,-273,-2683,-312,2440,-874,-2356,2022-10-21 16:19:21.344610
118,-146,1552,16118,629,-227,-2631,-226,2398,-851,-2432,2022-10-21 16:19:21.471772
119,-143,1609,16006,1192,-164,-2590,-225,2360,-826,-2517,2022-10-21 16:19:21.601396
120,-146,1683,15867,1035,-174,-2830,-277,2357,-857,-2655,2022-10-21 16:19:21.728432
121,-146,1319,16023,966,-210,-2906,-274,2414,-960,-2693,2022-10-21 16:19:21.858169
122,-144,795,15997,927,-361,-2445,-236,2239,-865,-2765,2022-10-21 16:19:21.984572
123,-145,975,15973,894,-260,-1978,-258,2101,-762,-2825,2022-10-21 16:19:22.113689
124,-145,1618,16102,812,-149,-1795,-271,1871,-544,-2889,2022-10-21 16:19:22.241270
125,-145,1343,15726,934,-200,-1778,-329,1499,-238,-2935,2022-10-21 16:19:22.369171
126,-142,1570,15818,1119,-158,-1821,-278,1505,-273,-2929,2022-10-21 16:19:22.496307
127,-147,1519,16080,652,-157,-1890,-308,1473,-311,-2989,2022-10-21 16:19:22.615633
128,-146,1076,15809,929,-221,-2031,-307,1377,-277,-2990,2022-10-21 16:19:22.740394
129,-143,1226,15579,996,-472,-1801,-299,1275,-262,-3043,2022-10-21 16:19:22.864362
130,-144,940,15944,1042,-132,-1589,-263,1163,-270,-3109,2022-10-21 16:19:22.994453
131,-143,594,15620,1010,-217,-1074,-239,1047,-120,-3085,2022-10-21 16:19:23.121512
132,-145,945,15777,942,-92,-504,-211,984,-150,-3073,2022-10-21 16:19:23.247626
133,-145,1223,16035,1046,-85,-79,-232,1123,-267,-3088,2022-10-21 16:19:23.375571
134,-143,1455,15962,836,-116,145,-162,1256,-442,-3093,2022-10-21 16:19:23.500340
135,-144,1395,15748,1027,-61,193,-177,1376,-578,-3094,2022-10-21 16:19:23.627695
136,-144,1558,15992,986,-110,143,-147,1568,-714,-3114,2022-10-21 16:19:23.755637
137,-145,1238,15923,922,-155,121,-148,1538,-729,-3109,2022-10-21 16:19:23.885261
138,-143,1420,15957,1005,-58,144,-140,1650,-840,-3087,2022-10-21 16:19:24.011178
139,-143,1196,15722,1332,-45,121,-172,1402,-531,-3112,2022-10-21 16:19:24.138371
140,-144,1417,16091,758,-20,22,-148,1289,-441,-3072,2022-10-21 16:19:24.262952
141,-143,1081,15817,1359,-43,108,-155,1315,-463,-3118,2022-10-21 16:19:24.391631
142,-142,1776,15932,814,-92,164,-211,1331,-481,-3152,2022-10-21 16:19:24.517570
143,-143,1643,15811,1400,-12,129,-186,1340,-451,-3109,2022-10-21 16:19:24.647747
144,-147,944,16107,990,-18,209,-218,1376,-458,-3121,2022-10-21 16:19:24.775218
145,-143,1422,15883,1135,-113,93,-159,1326,-515,-3138,2022-10-21 16:19:24.903822
146,-144,1201,15957,1019,22,146,-171,1367,-541,-3101,2022-10-21 16:19:25.029749
147,-145,1320,15991,1072,-69,102,-136,1388,-537,-3115,2022-10-21 16:19:25.159303
148,-144,1438,15493,1514,-46,87,-170,1392,-550,-3029,2022-10-21 16:19:25.287133
149,-144,750,16046,1131,24,639,-195,1417,-542,-3118,2022-10-21 16:19:25.415004
150,-145,2357,15624,1321,-88,1394,-244,1415,-512,-3050,2022-10-21 16:19:25.539261
151,-149,608,15527,1679,133,1353,-156,1468,-535,-3076,2022-10-21 16:19:25.668836
152,-145,1066,16165,971,67,2559,-2,1602,-575,-3052,2022-10-21 16:19:25.800421
153,-144,1303,15987,1398,104,3140,-18,1640,-468,-3088,2022-10-21 16:19:25.933545
154,-145,1120,15814,1393,218,3030,-91,1733,-509,-2968,2022-10-21 16:19:26.061156
