,temp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time
0,-181,1220,15942,487,-97,136,-33,2499,-976,-2348,2022-10-15 13:29:03.413191
1,-173,1251,16065,460,-68,96,-31,2501,-1027,-2365,2022-10-15 13:29:03.576882
2,-173,1217,16058,652,-76,85,-39,2527,-1015,-2299,2022-10-15 13:29:03.713630
3,-172,1295,16046,799,-52,109,-33,2502,-1001,-2324,2022-10-15 13:29:03.850976
4,-168,1277,16016,835,-30,113,-33,2487,-983,-2304,2022-10-15 13:29:03.989925
5,-169,1268,16008,704,-48,118,-30,2483,-1003,-2330,2022-10-15 13:29:04.129095
6,-168,1362,15839,1061,-66,-107,-16,2508,-1034,-2338,2022-10-15 13:29:04.270386
7,-163,1242,16356,320,-123,-26,-55,2538,-976,-2379,2022-10-15 13:29:04.413272
8,-165,1058,15882,1349,-37,156,-34,2543,-996,-2332,2022-10-15 13:29:04.556632
9,-165,1277,15794,1362,-49,-175,-15,2536,-997,-2342,2022-10-15 13:29:04.702717
10,-165,2228,15391,1120,-105,-3,-37,2512,-1021,-2416,2022-10-15 13:29:04.855125
11,-163,1939,16153,696,267,-128,-24,2485,-1013,-2352,2022-10-15 13:29:05.005389
12,-164,1181,16298,264,-66,-2152,-300,2467,-1062,-2423,2022-10-15 13:29:05.156524
13,-161,2144,15876,1267,-441,-4100,-118,2616,-1085,-2483,2022-10-15 13:29:05.309950
14,-162,390,16094,1418,-233,-5475,-278,2610,-1140,-2675,2022-10-15 13:29:05.469039
15,-162,2164,16317,1792,-285,-5819,-355,2515,-1208,-2832,2022-10-15 13:29:05.625892
16,-161,1126,16285,978,-243,-4915,-254,2413,-1249,-2987,2022-10-15 13:29:05.783566
17,-159,961,15863,816,-266,-4489,-207,2222,-1247,-3114,2022-10-15 13:29:05.944953
18,-159,1464,16160,1099,-204,-2990,-145,2006,-1262,-3144,2022-10-15 13:29:06.105956
19,-156,1015,16096,160,-295,-927,-23,1892,-1245,-3176,2022-10-15 13:29:06.269312
20,-155,721,16239,783,-168,110,-23,1883,-1263,-3125,2022-10-15 13:29:06.435256
21,-157,1433,16324,665,-52,-100,14,1898,-1279,-3180,2022-10-15 13:29:06.604061
22,-157,1460,16214,883,-135,-56,-6,1898,-1202,-3114,2022-10-15 13:29:06.770567
23,-158,1122,16406,655,-123,-44,45,1826,-1208,-3208,2022-10-15 13:29:06.937117
24,-157,2086,15866,652,-503,40,59,1895,-1216,-3198,2022-10-15 13:29:07.106264
25,-154,591,15779,1055,-113,97,-34,1810,-1199,-3174,2022-10-15 13:29:07.276686
26,-156,910,15885,1435,-29,128,1,1842,-1208,-3188,2022-10-15 13:29:07.447532
27,-154,2074,16411,301,-75,91,64,1836,-1235,-3220,2022-10-15 13:29:07.620618
28,-154,1060,16216,902,-21,646,50,1810,-1209,-3202,2022-10-15 13:29:07.793803
29,-154,959,15765,1214,107,1087,-124,1869,-1236,-3202,2022-10-15 13:29:07.968307
30,-154,261,16320,1369,-110,3304,387,1994,-1217,-3174,2022-10-15 13:29:08.143561
31,-154,1067,16338,1114,221,4817,261,2160,-1117,-3079,2022-10-15 13:29:08.321526
32,-155,925,16063,1732,253,4986,167,2298,-1092,-2992,2022-10-15 13:29:08.501224
33,-155,800,16035,1306,99,5007,199,2433,-1051,-2770,2022-10-15 13:29:08.682040
34,-153,2059,15923,1682,91,4598,257,2480,-947,-2642,2022-10-15 13:29:08.861015
35,-154,1973,16047,1517,114,3989,161,2472,-926,-2486,2022-10-15 13:29:09.040715
36,-152,1559,16042,1131,-25,2501,52,2443,-871,-2372,2022-10-15 13:29:09.220578
37,-153,1949,15941,623,7,1545,230,2416,-904,-2333,2022-10-15 13:29:09.399125
38,-151,1581,15701,1446,-152,366,-40,2422,-913,-2319,2022-10-15 13:29:09.587909
39,-152,566,16081,942,60,134,-102,2359,-889,-2280,2022-10-15 13:29:09.768542
40,-151,1231,15903,1134,-24,391,-37,2376,-891,-2265,2022-10-15 13:29:09.948479
41,-149,1274,16041,1072,-100,-104,174,2488,-943,-2303,2022-10-15 13:29:10.127740
42,-152,1681,16030,1238,-28,97,229,2447,-926,-2283,2022-10-15 13:29:10.308094
43,-151,1208,15679,1727,-85,145,-55,2416,-869,-2307,2022-10-15 13:29:10.487813
44,-152,284,16260,661,54,444,-111,2418,-899,-2237,2022-10-15 13:29:10.668256
45,-152,720,16490,175,189,2418,6,2387,-893,-2258,2022-10-15 13:29:10.847786
46,-148,837,15978,1160,48,3683,7,2351,-863,-2154,2022-10-15 13:29:11.027271
47,-153,765,15612,1541,65,4813,227,2200,-791,-2044,2022-10-15 13:29:11.211673
48,-152,998,16520,1529,44,4945,321,2064,-822,-1857,2022-10-15 13:29:11.390115
49,-150,1068,15590,1759,80,4086,161,1940,-814,-1797,2022-10-15 13:29:11.571082
50,-151,1139,15555,1665,34,3425,110,1820,-792,-1663,2022-10-15 13:29:11.750252
51,-150,1783,15897,1581,18,3019,192,1709,-814,-1560,2022-10-15 13:29:11.929058
52,-149,1576,16146,938,238,1428,-64,1563,-770,-1560,2022-10-15 13:29:12.107806
53,-151,1660,15482,908,-179,271,-27,1497,-758,-1541,2022-10-15 13:29:12.286792
54,-149,168,15947,1747,174,-425,-43,1473,-767,-1543,2022-10-15 13:29:12.464998
55,-148,1042,15878,1105,-142,-557,-97,1535,-741,-1548,2022-10-15 13:29:12.643962
56,-150,1127,15714,1528,-113,193,-96,1509,-798,-1565,2022-10-15 13:29:12.823146
57,-149,856,15904,1389,-53,33,-42,1552,-759,-1584,2022-10-15 13:29:13.002409
58,-151,1138,15997,1352,-28,100,-41,1522,-805,-1590,2022-10-15 13:29:13.180826
59,-152,1250,16011,1138,-137,60,-3,1577,-801,-1559,2022-10-15 13:29:13.359649
60,-151,1580,16121,1494,-250,-78,125,1531,-809,-1595,2022-10-15 13:29:13.545409
